receptor,wind_sector,n_hours,obs_mean,pred_mean,resid_mean,resid_rms
SAN YSIDRO,N,4,2.95,1.256257849321739,1.6937421506782608,2.8648164306790345
SAN YSIDRO,NNE,7,3.9285714285714284,5.725205181726724,-1.7966337531552958,7.155612479088096
SAN YSIDRO,NE,3,1.8333333333333333,2.0835512924713995,-0.25021795913806605,1.5306767736137634
SAN YSIDRO,ENE,1,0.4,0.422446469788899,-0.02244646978889897,0.02244646978889897
SAN YSIDRO,SSW,4,2.0,3.0887118832333567,-1.0887118832333567,1.2811601772355288
SAN YSIDRO,SW,11,2.2636363636363637,1.9925924939162898,0.27104386972007394,2.3141511322255774
SAN YSIDRO,WSW,15,1.5599999999999998,1.953137767733911,-0.39313776773391135,1.637996461845993
SAN YSIDRO,W,20,2.005,6.477187695780344,-4.472187695780344,13.74933035707443
SAN YSIDRO,WNW,3,5.800000000000001,1.5979910814926208,4.202008918507379,4.295390598653421
SAN YSIDRO,NW,2,5.35,5.65867879383751,-0.3086787938375104,4.431363951002054
SAN YSIDRO,NNW,2,3.4,0.11505030929585874,3.284949690704141,3.348931998411021
NESTOR - BES,N,4,40.075,1.231281145365457,38.843718854634545,75.7902280027259
NESTOR - BES,NNE,7,6.557142857142857,0.08973876639194871,6.467404090750908,14.011792202432257
NESTOR - BES,NE,3,7.233333333333333,9.263048528431455,-2.029715195098122,15.055698138563905
NESTOR - BES,ENE,1,8.3,0.33633208108318835,7.963667918916812,7.963667918916812
NESTOR - BES,SSW,4,6.7749999999999995,3.7317015530751365,3.043298446924864,6.074764346511351
NESTOR - BES,SW,11,2.6818181818181817,0.8639192182330909,1.817898963585091,3.435575745620103
NESTOR - BES,WSW,15,2.213333333333333,1.6179721481607376,0.595361185172596,2.6920173695596916
NESTOR - BES,W,20,2.29,0.4632531359271475,1.8267468640728528,5.221551854351169
NESTOR - BES,WNW,3,58.666666666666664,0.470355185100029,58.196311481566646,98.25899821721265
NESTOR - BES,NW,2,88.8,0.4062389836947612,88.39376101630525,124.74926490625143
NESTOR - BES,NNW,2,86.7,0.132772177323372,86.56722782267661,120.99452262347768
IB CIVIC CTR,N,4,0.75,1.0611769155100799,-0.31117691551007987,1.3419481015435677
IB CIVIC CTR,NNE,7,0.8285714285714285,1.2438999347175663,-0.41532850614613753,2.4890546872515937
IB CIVIC CTR,NE,3,2.3000000000000003,10.136453723976482,-7.836453723976483,14.256638877435313
IB CIVIC CTR,ENE,1,4.0,0.5514785380690701,3.44852146193093,3.44852146193093
IB CIVIC CTR,SSW,4,1.525,3.4712935954622326,-1.9462935954622322,2.477034306965798
IB CIVIC CTR,SW,11,0.7909090909090909,0.599623218565919,0.19128587234317188,0.5315207223208838
IB CIVIC CTR,WSW,15,0.5733333333333334,0.7081987844738156,-0.13486545114048226,0.7294292870323085
IB CIVIC CTR,W,20,0.69,3.6822894345704205,-2.992289434570421,9.655383876435666
IB CIVIC CTR,WNW,3,0.6333333333333333,0.0011436090077207779,0.6321897243256126,0.6444363646219603
IB CIVIC CTR,NW,2,0.55,2.684499638245413e-84,0.55,0.552268050859363
IB CIVIC CTR,NNW,2,0.75,5.0789457293271844e-05,0.7499492105427068,0.7647931642843117
