hour,obs_SAN YSIDRO,pred_v2_SAN YSIDRO,pred_v3_SAN YSIDRO,pred_v31_SAN YSIDRO,obs_NESTOR - BES,pred_v2_NESTOR - BES,pred_v3_NESTOR - BES,pred_v31_NESTOR - BES,obs_IB CIVIC CTR,pred_v2_IB CIVIC CTR,pred_v3_IB CIVIC CTR,pred_v31_IB CIVIC CTR
2026-02-01 00:00:00-08:00,1.2,1.7940616829205807e-05,0.14628025154331836,0.2765394834984393,18.5,1.1033246497021412,1.25146646075896,1.3130037717166116,6.8,1.1525109518589065,1.1713216355928193,1.162802986701443
2026-02-01 01:00:00-08:00,1.0,1.3414954014776403,1.2050834199300802,1.1776176445139732,5.3,1.5053896708206203,1.4734841367448401,1.4261719009399525,2.8,0.18690670428186343,0.2102789301323526,0.21654668883155342
2026-02-01 02:00:00-08:00,1.0,0.011876313313223679,0.014549739137125546,0.014042035022255088,3.6,0.595511324138761,0.5835157491133527,0.5778977263592157,2.3,0.38143367401121725,0.38527380022400354,0.37920332535028417
2026-02-01 03:00:00-08:00,2.6,1.7954367360482424e-06,2.4018194268479575e-06,2.2686838318620274e-06,1.8,0.8034842927351811,0.9603845114843883,0.9750258138962594,1.2,0.42996366601976516,0.503782791930799,0.5127967129685005
2026-02-01 04:00:00-08:00,2.8,1.5123963510621317e-14,2.0793374755183033e-14,1.9398424609686083e-14,1.6,0.18939270621798798,0.33643090787413776,0.34786465436019376,1.2,0.4570356207287546,0.6349211321707182,0.5914365185501735
2026-02-01 05:00:00-08:00,2.4,6.04000537425904e-13,8.379063839830375e-13,7.762565587560265e-13,1.3,0.22715975149190348,0.4273807467798796,0.47597796410437815,1.1,0.38965707102965147,0.5763528106165163,0.5486550172060474
2026-02-01 06:00:00-08:00,1.9,3.5598992255316554e-05,4.883357852137448e-05,4.5187736012153865e-05,1.0,0.6600267336295489,0.7502739195949986,0.7257769181876599,1.3,0.3375132470975367,0.3709622065962247,0.36251915129105106
2026-02-01 07:00:00-08:00,2.8,0.00024721531023735687,0.0003286580617551656,0.00030547636079635563,1.4,0.5926824995229709,0.6353076019130014,0.6109774947067212,1.6,0.3181021899436705,0.33161019000049935,0.3194938375398697
2026-02-01 08:00:00-08:00,3.1,3.0243911958445373e-06,3.866130234520901e-06,3.6273485936295343e-06,1.6,0.5881882364512602,0.6548886000444044,0.6450808229934799,1.5,0.30526569437561435,0.33245840337646304,0.32602354323825766
2026-02-01 09:00:00-08:00,2.2,1.1577574675110232e-14,1.3924575358883204e-14,1.328149755242426e-14,1.8,0.6016789903319701,0.6746766815616618,0.6439473407116246,4.2,1.402534977180467,1.4784159343342886,1.4181281104631305
