receptor,wind_sector,n_hours,obs_mean,pred_mean,resid_mean,resid_rms
SAN YSIDRO,N,9,30.311111111111114,7.404432356084219,22.906678755026892,42.68019504726565
SAN YSIDRO,NNE,7,10.0,0.3438842869624302,9.656115713037568,14.90550865800885
SAN YSIDRO,NE,13,7.646153846153846,5.349379513909803e-09,7.646153840804467,11.028424802125363
SAN YSIDRO,ENE,13,6.246153846153847,3.2992558769002167e-12,6.246153846150548,9.607368966653173
SAN YSIDRO,E,14,5.957142857142856,2.717463148832268e-66,5.957142857142856,11.235784669655127
SAN YSIDRO,ESE,13,2.707692307692308,9.89944791254691e-76,2.707692307692308,3.6042709707747043
SAN YSIDRO,SE,20,4.470000000000001,1.1721339831540514e-30,4.470000000000001,6.949676251452294
SAN YSIDRO,SSE,17,3.4941176470588236,1.1237800644201099e-05,3.4941064092581793,5.122268181855903
SAN YSIDRO,S,12,5.0,0.10340017295046705,4.896599827049533,6.244181970857157
SAN YSIDRO,SSW,15,4.613333333333332,3.352722821694203,1.2606105116391302,7.205742030033188
SAN YSIDRO,SW,18,3.738888888888889,1.431664025230553,2.3072248636583357,4.397033426338192
SAN YSIDRO,WSW,38,4.771052631578947,1.8535708459042193,2.9174817856747275,8.937226485439725
SAN YSIDRO,W,60,5.566666666666667,4.806566546580969,0.7601001200856977,8.063902075294026
SAN YSIDRO,WNW,39,6.38974358974359,0.5509879007229473,5.838755689020642,10.430635296963676
SAN YSIDRO,NW,9,15.38888888888889,0.3698152762051995,15.019073612683691,19.890514003268418
SAN YSIDRO,NNW,7,29.328571428571426,0.001019927534446144,29.327551501036986,42.183462016905246
NESTOR - BES,N,9,13.411111111111111,4.5140628442463715,8.897048266864738,17.93493790086433
NESTOR - BES,NNE,7,96.6,6.05183354368893e-08,96.59999993948166,148.10277319623142
NESTOR - BES,NE,13,50.53076923076923,1.3746999656799999,49.15606926508924,83.79008997841696
NESTOR - BES,ENE,13,47.707692307692305,2.3043422104137394,45.40335009727857,93.6210368061992
NESTOR - BES,E,14,16.307142857142857,0.06251867738060146,16.244624179762255,35.076684003962725
NESTOR - BES,ESE,13,34.23846153846154,1.2007045067914293,33.03775703167011,71.15570817175963
NESTOR - BES,SE,20,95.29499999999999,6.426460805509343,88.86853919449065,123.75397063338413
NESTOR - BES,SSE,17,72.09411764705884,2.3296184829784714,69.76449916408035,102.80493938586834
NESTOR - BES,S,12,92.98333333333333,29.850427974248174,63.13290535908516,158.80135202871273
NESTOR - BES,SSW,15,31.14666666666667,8.640110605519626,22.50655606114704,38.4330784199787
NESTOR - BES,SW,18,57.89999999999999,0.8676477549379988,57.03235224506199,181.76229791785323
NESTOR - BES,WSW,40,7.7299999999999995,1.3334625263343773,6.396537473665623,20.373864370167386
NESTOR - BES,W,60,12.34,0.6775472924807421,11.662452707519261,52.15526591703907
NESTOR - BES,WNW,42,1.0523809523809522,0.0507473801401877,1.0016335722407648,3.1074593266597113
NESTOR - BES,NW,9,1.7111111111111112,0.6319233876600004,1.0791877234511107,4.135512523639504
NESTOR - BES,NNW,7,83.21428571428571,0.7222931299353146,82.49199258435041,155.59782847845452
IB CIVIC CTR,N,9,1.4222222222222223,24.385910189568374,-22.963687967346154,30.403494042133723
IB CIVIC CTR,NNE,7,0.7857142857142858,0.0038179006436555286,0.7818963850706302,1.0932212191698771
IB CIVIC CTR,NE,13,4.23076923076923,5.168857198074596,-0.9380879673053647,11.244313022150743
IB CIVIC CTR,ENE,13,3.092307692307692,1.6168227562680784,1.4754849360396138,4.494943194044524
IB CIVIC CTR,E,14,5.371428571428572,0.7287242741855906,4.642704297242981,12.280935295971231
IB CIVIC CTR,ESE,13,12.353846153846153,3.439680547443951,8.914165606402204,31.281290007546723
IB CIVIC CTR,SE,20,38.83,38.92119050297308,-0.09119050297308676,99.38678139778764
IB CIVIC CTR,SSE,17,17.423529411764708,4.796108402325409,12.627421009439297,19.77202765276727
IB CIVIC CTR,S,11,18.29090909090909,5.861221742163778,12.429687348745311,18.952093349674367
IB CIVIC CTR,SSW,14,12.157142857142858,2.6089585225080296,9.54818433463483,22.500914027830706
IB CIVIC CTR,SW,18,2.772222222222222,0.4448128517784277,2.327409370443794,6.1815217100142466
IB CIVIC CTR,WSW,42,1.2666666666666666,0.9166755565869587,0.3499911100797081,2.6912499229626934
IB CIVIC CTR,W,57,1.1228070175438596,1.564802253156217,-0.44199523561235715,4.205568100131725
IB CIVIC CTR,WNW,42,0.5214285714285714,0.010271053838723733,0.5111575175898477,0.6675859381521713
IB CIVIC CTR,NW,9,0.48888888888888893,1.098827048143678e-19,0.48888888888888893,0.5077182070575939
IB CIVIC CTR,NNW,7,0.8571428571428573,0.020747170391614635,0.8363956867512427,1.2407461589907574
