baseline_scale,Q10,T_ref_c,substrate_alpha,substrate_threshold,diel_amplitude,diel_phase_hours,f_arch_drain,f_arch_channel,f_arch_estuary,f_arch_bay,sample_id,rms_SAN YSIDRO,corr_SAN YSIDRO,peak_ratio_SAN YSIDRO,rms_NESTOR - BES,corr_NESTOR - BES,peak_ratio_NESTOR - BES,rms_IB CIVIC CTR,corr_IB CIVIC CTR,peak_ratio_IB CIVIC CTR
94.94720448298817,2.2851701948684946,12.764248327599555,0.40892208451346085,24.888671261455354,1.2171322856818474,7.445808608958298,0.694181358345175,1.0859809068089994,1.6478788568252494,0.40554155591046015,0,1776.0231289805965,-0.11429737043425074,132.87202197556516,616.4640238866482,-0.025559587592551,7.79713277307197,1382.304337413126,-0.15797869743089424,81.31884505991982
170.45168606625143,1.7531799109695205,22.739723330147285,0.3997201467375372,11.943783881986217,2.783057542442527,10.469643816219707,3.1758688593415636,0.9114288953474446,0.8444076190078111,0.2929151565810349,1,2702.6830602368846,-0.10151661339675709,194.37838077509548,483.2523034353452,0.041438394675009614,6.511016302397479,397.8931961104438,-0.1554288410136762,21.733117033947696
130.32194479955348,1.6347348940105695,12.066286421276358,0.02174080093769434,28.628271145451844,3.2104383694153853,3.8996821049361015,4.022679272831814,1.4040895717254511,1.926401259126593,0.032344566137437455,2,5576.914192081463,-0.1267421374181818,443.7632434932076,746.514109658987,-0.0559274539942168,8.100379655310691,1411.2687630911605,-0.16079857985498183,77.80391649381622
131.27603106610192,2.342532554744002,24.51754622465791,0.4249756952177319,11.495376456602159,1.362877950051025,4.439506468555722,3.140278943129659,0.9459760135521209,2.6654224566966827,0.17405037321657077,3,922.9442075730927,-0.10326706695089323,72.11402524542264,183.46851316085449,-0.045346622795760065,1.7516970628234094,388.2354346873484,-0.15586451374878965,22.440272708814238
144.11742997582752,3.3341435377199438,12.652375294871764,0.04742956606515242,17.258176254274545,2.111062076048226,5.9645989432935025,4.261265712491994,1.586708248242911,2.818784988407649,0.18891734448829847,4,9065.142183366308,-0.10325959468347665,701.6093637190944,1281.7566856998515,-0.08344155586230818,14.777528325629152,2676.6692562174926,-0.152455976751074,160.56860241378033
78.98715743156212,2.6745104650018527,23.7745203842781,0.18423273856732425,12.533618873631779,1.5673502362023026,11.35580852569136,1.8724717258265022,0.8535317586416968,2.594314990107709,0.35817021276205135,5,417.2028016878357,-0.09689123204240346,29.37948513508008,132.99256990967652,-0.053824715159894065,0.9547928999343698,264.2582779246716,-0.15702148893583565,15.665948732292627
9.120465420138434,2.6939248473426494,19.434236243330005,0.3236410096447546,21.906571702053352,2.9768664577152393,5.707761768207497,0.8671084036661929,0.19910488387786351,1.9554834113259267,0.3222473039408013,6,100.95142303125475,-0.11961136428735329,9.093717565535306,100.85875664142984,-0.1541350261664572,0.34721484243952655,120.80390028891294,-0.14403459100794266,7.244767225508843
161.9655451185465,1.9701468284356007,29.878472202085135,0.17261843505001373,24.542938370272836,1.9828319177713754,7.345057157559243,3.5520841339175107,1.7074366759596307,0.3198868133549393,0.04093414432218428,7,2633.4419693415953,-0.11941508592509431,198.32721826574664,401.06270544418373,0.051385642342700995,5.16722794820442,179.9300682231631,-0.13542595781376468,6.89129122248938
135.37557929463875,2.4833411126695877,22.000547310883462,0.23965157600349032,36.55180777945239,1.1133680592358095,1.5108899045757915,2.9660350651802605,0.13641044286254944,0.47078287345027026,0.2347677158172738,8,4244.687989302351,-0.08956380147587534,362.0651471021835,537.5384889746497,0.04906822073944064,8.928892833796212,423.84121757172016,-0.13200220415008138,21.12583141599903
112.63450907703411,2.5033612996852934,25.418853023387413,0.4175803727195071,31.577175530083547,3.229399118805747,10.323896806752597,4.6104695135399725,1.2266752480262013,1.1274046273559635,0.2391868413683732,9,13998.07267511842,-0.10359581513586127,1086.3378342573237,2083.7075566777103,0.017701802050080283,31.009771639716853,1810.912010512184,-0.15132567950292306,105.7456542538004
