hour,obs_SAN YSIDRO,obs_NESTOR - BES,obs_IB CIVIC CTR,pred_seed_SAN YSIDRO,pred_seed_NESTOR - BES,pred_seed_IB CIVIC CTR,pred_fit_SAN YSIDRO,pred_fit_NESTOR - BES,pred_fit_IB CIVIC CTR
2026-03-13 00:00:00-07:00,2.1,2.5,1.8,0.0,0.004795728148982288,0.04977500152011233,0.0,0.02349751104701983,0.9572784153283682
2026-03-13 01:00:00-07:00,2.0,2.0,1.9,0.0,2.9233455423704045e-07,2.2593504041417408e-05,0.0,3.57363318333391e-07,0.0005449607042900178
2026-03-13 02:00:00-07:00,2.2,1.8,1.7,0.0,0.09665928365398202,0.4121535229419854,0.0,0.8321991893462133,6.808870934061714
2026-03-13 03:00:00-07:00,1.9,2.0,6.3,0.08104086260996542,0.7275305743473814,0.0760169273777996,0.020841737826766515,37.802584941702705,12.939119334268554
2026-03-13 04:00:00-07:00,4.5,12.8,7.9,0.1412555838405881,0.09424283000951965,1.0492783276552494e-07,1.7457236921145316,0.879753670461969,9.80350297706331e-07
2026-03-13 05:00:00-07:00,6.4,16.4,6.2,0.45181856789638464,0.06985090971096952,9.916722292960821e-14,11.899709787601452,0.6525769489951513,9.265283953686462e-13
2026-03-13 06:00:00-07:00,7.0,2.9,1.2,0.41133941904275917,0.008764251671103411,8.324692544043016e-11,31.638072545087965,0.0802639918961784,7.777836060050272e-10
2026-03-13 07:00:00-07:00,6.4,1.3,0.8,0.6793188561707149,0.29713834772943853,0.0024445303558432003,41.1591759595476,2.7987562018920914e-08,0.022839469747348448
2026-03-13 08:00:00-07:00,6.1,2.8,0.7,0.7447462003339912,0.3315479291894995,0.05178737429058696,20.58551736510388,6.019640446899226e-12,0.4838541544707002
2026-03-13 09:00:00-07:00,1.8,4.2,0.7,0.7393633892532944,0.1907268687561812,0.29983480310082755,8.152325957407564,2.2307364598187595e-15,2.801383872470425
2026-03-13 10:00:00-07:00,2.7,2.5,1.4,1.0639283242857656,5.026792196483329e-05,0.1773820694653281,7.980138943285015,0.010025609655857875,1.6572967624585524
2026-03-13 11:00:00-07:00,3.2,3.9,1.7,2.351743781560747,0.40900533601441325,0.2114269079474264,7.427728050283835,81.57174091185374,1.3528807884982652e-08
2026-03-13 12:00:00-07:00,2.7,2.2,5.0,1.2240020124272433,0.24782210781781575,1.0586107265894031,0.22558278236963536,15.187580744522613,5.015249303506513e-16
2026-03-13 13:00:00-07:00,1.9,2.8,4.0,1.5473422064734934,0.6532846117534912,1.4884160035554752,0.19757062011127263,12.027930633553801,2.807490318826546e-17
2026-03-13 14:00:00-07:00,35.5,4.6,6.1,5.907571329049716,0.31855245602111926,0.011672361255694211,33.86968405647783,63.60685139163091,0.0003011397267318989
2026-03-13 15:00:00-07:00,12.4,111.7,11.3,1.392109480413236,0.002543588024465907,3.8696629747937634,2.9544012837811096,2.1313297990444355e-07,36.15461359846807
2026-03-13 16:00:00-07:00,2.4,165.6,21.6,13.861199107731077,15.079990486894385,0.0029658664293391425,3.569282331603616,120.96395172416071,7.377742287535411e-13
2026-03-13 17:00:00-07:00,11.9,394.0,103.6,22.55661356191282,1.6962925563994709,0.012577302223208903,128.88300150013058,338.70729241095154,1.0776977277426993e-09
2026-03-13 18:00:00-07:00,17.5,96.8,62.1,1.6046960632040043e-14,2.186648041533389,1.079586304155798,4.132133663895501e-15,7.785096061871345,52.31283164062026
