receptor,wind_sector,n_hours,obs_mean,pred_mean,resid_mean,resid_rms
SAN YSIDRO,N,9,30.311111111111114,8.422357840112078,21.888753270999032,42.69472649121591
SAN YSIDRO,NNE,7,10.0,10.229230718279618,-0.22923071827962005,13.983699339552933
SAN YSIDRO,NE,13,7.646153846153846,0.018818540381205975,7.627335305772639,11.009955843158336
SAN YSIDRO,ENE,13,6.246153846153847,0.397712741630806,5.848441104523039,9.37177976976163
SAN YSIDRO,E,14,5.957142857142856,0.858299094400584,5.0988437627422725,11.09852909322444
SAN YSIDRO,ESE,13,2.707692307692308,0.0022691589025110592,2.7054231487897975,3.603770907644866
SAN YSIDRO,SE,20,4.470000000000001,7.792929069670441e-10,4.469999999220708,6.9496762512073325
SAN YSIDRO,SSE,17,3.4941176470588236,0.0006722988441191988,3.4934453482147045,5.122139116818978
SAN YSIDRO,S,12,5.0,1.3085260145661695,3.6914739854338308,6.933658257333991
SAN YSIDRO,SSW,15,4.613333333333332,3.0180010454699753,1.5953322878633582,7.321532391513737
SAN YSIDRO,SW,18,3.738888888888889,1.86132643876336,1.8775624501255288,4.314186299534267
SAN YSIDRO,WSW,38,4.771052631578947,2.23849082305832,2.5325618085206285,8.952226190640133
SAN YSIDRO,W,60,5.566666666666667,5.216714744717968,0.34995192194869945,7.897807717227103
SAN YSIDRO,WNW,39,6.38974358974359,1.7145368930430156,4.675206696700575,8.764578090483996
SAN YSIDRO,NW,9,15.38888888888889,0.6808453501979498,14.708043538690937,19.603858719969864
SAN YSIDRO,NNW,7,29.328571428571426,1.8444501138861527,27.484121314685275,41.24630475297914
NESTOR - BES,N,9,13.411111111111111,4.32653854645781,9.0845725646533,17.918625986507468
NESTOR - BES,NNE,7,96.6,5.474935393959998,91.12506460604001,139.01370243850408
NESTOR - BES,NE,13,50.53076923076923,5.553280810555459,44.97748842021377,80.37480085476939
NESTOR - BES,ENE,13,47.707692307692305,1.5073267412598466,46.20036556643247,93.88694920916423
NESTOR - BES,E,14,16.307142857142857,1.7709197796321157,14.536223077510742,34.85186540308421
NESTOR - BES,ESE,13,34.23846153846154,2.5136198089233313,31.724841729538205,71.00843021493127
NESTOR - BES,SE,20,95.29499999999999,6.819416241510686,88.47558375848931,123.31094951973691
NESTOR - BES,SSE,17,72.09411764705884,2.0459809127923463,70.04813673426646,103.42328036833236
NESTOR - BES,S,12,92.98333333333333,28.549646558145028,64.43368677518832,160.48849959028496
NESTOR - BES,SSW,15,31.14666666666667,7.811079733162415,23.335586933504253,39.55089091146748
NESTOR - BES,SW,18,57.89999999999999,0.9379912648847257,56.96200873511527,181.70067263485222
NESTOR - BES,WSW,40,7.7299999999999995,1.3468248531703808,6.383175146829619,20.916378653078908
NESTOR - BES,W,60,12.34,0.48879380053502597,11.851206199464974,51.956948222321266
NESTOR - BES,WNW,42,1.0523809523809522,0.04242401524797672,1.0099569371329757,3.1106969829047584
NESTOR - BES,NW,9,1.7111111111111112,0.7513402357958718,0.9597708753152391,4.164863415445375
NESTOR - BES,NNW,7,83.21428571428571,0.5345287457466641,82.67975696853905,155.59380279485052
IB CIVIC CTR,N,9,1.4222222222222223,22.885288433941174,-21.463066211718953,28.90634482815016
IB CIVIC CTR,NNE,7,0.7857142857142858,0.0031042819680841965,0.7826100037462015,1.093482701770238
IB CIVIC CTR,NE,13,4.23076923076923,6.036404018813134,-1.8056347880439032,10.538372674550951
IB CIVIC CTR,ENE,13,3.092307692307692,2.3031663424626405,0.7891413498450517,4.624008021093019
IB CIVIC CTR,E,14,5.371428571428572,2.7425694141707533,2.6288591572578177,14.39905896287866
IB CIVIC CTR,ESE,13,12.353846153846153,4.601443738378114,7.75240241546804,30.617209004077637
IB CIVIC CTR,SE,20,38.83,34.198904598698796,4.6310954013012005,88.30618224483084
IB CIVIC CTR,SSE,17,17.423529411764708,4.025500844042894,13.398028567721811,20.459603104929403
IB CIVIC CTR,S,11,18.29090909090909,5.556003544685138,12.734905546223954,19.088784902592955
IB CIVIC CTR,SSW,14,12.157142857142858,2.151455753083171,10.005687104059687,22.97516246017953
IB CIVIC CTR,SW,18,2.772222222222222,0.4174611341860285,2.3547610880361933,6.126271483779711
IB CIVIC CTR,WSW,42,1.2666666666666666,0.5375398937069922,0.7291267729596745,2.837775121297151
IB CIVIC CTR,W,57,1.1228070175438596,1.4044333070971395,-0.2816262895532797,3.9092268299350934
IB CIVIC CTR,WNW,42,0.5214285714285714,0.0081837294088827,0.5132448420196887,0.6704806620699872
IB CIVIC CTR,NW,9,0.48888888888888893,1.0486593135977532e-19,0.48888888888888893,0.5077182070575939
IB CIVIC CTR,NNW,7,0.8571428571428573,0.019834795092617822,0.8373080620502394,1.242996141691728
