hour,obs_SAN YSIDRO,pred_v2_SAN YSIDRO,pred_v3_SAN YSIDRO,obs_NESTOR - BES,pred_v2_NESTOR - BES,pred_v3_NESTOR - BES,obs_IB CIVIC CTR,pred_v2_IB CIVIC CTR,pred_v3_IB CIVIC CTR
2026-02-01 00:00:00-08:00,1.2,0.0,0.0,18.5,4.9290974293642355e-48,5.118080641422085e-48,6.8,1.130602724369447,1.173950403630121
2026-02-01 01:00:00-08:00,1.0,0.0,0.0,5.3,2.9997830012089516e-45,4.1472304425997806e-45,2.8,4.498640746187343e-22,4.913263351738662e-22
2026-02-01 02:00:00-08:00,1.0,0.0,0.0,3.6,4.4552684811052043e-13,6.39297468128353e-13,2.3,2.473394149518489e-10,3.11999652257593e-10
2026-02-01 03:00:00-08:00,2.6,0.0,0.0,1.8,1.3495944282375239e-05,1.9693461417837223e-05,1.2,0.0006694414056977849,0.000885047482652737
2026-02-01 04:00:00-08:00,2.8,0.0,0.0,1.6,0.09607541540421521,0.1352090302624505,1.2,0.42020223373263166,0.5314956953652206
2026-02-01 05:00:00-08:00,2.4,0.0,0.0,1.3,0.05051062809231137,0.0715994462925024,1.1,0.3076879619213433,0.39477488194728283
2026-02-01 06:00:00-08:00,1.9,0.0,0.0,1.0,1.33248503404468e-07,1.9240343785440412e-07,1.3,1.3246377356570694e-05,1.722380640730775e-05
2026-02-01 07:00:00-08:00,2.8,0.0,0.0,1.4,3.3265824697666664e-09,4.653649463899735e-09,1.6,5.541405394074742e-07,6.93872409515384e-07
2026-02-01 08:00:00-08:00,3.1,0.0,0.0,1.6,3.474920882376175e-06,4.62022941121952e-06,1.5,0.00020470768087818935,0.00024627813955564054
2026-02-01 09:00:00-08:00,2.2,1.1336357108314926e-88,1.43252635242865e-88,1.8,0.5944798250881459,0.6158990434261251,4.2,1.4108463538729838,1.3671563699606302
2026-02-01 10:00:00-08:00,3.1,1.8874223542221928,1.735127504646749,5.6,0.46818656862521507,0.4196095879041228,4.5,0.4252952590713899,0.5056444691355245
2026-02-01 11:00:00-08:00,4.5,1.65511734027551,1.4704828365498956,5.1,1.7496548404252725,2.0341136207853996,1.6,0.05947514085737943,0.08080257411025987
2026-02-01 12:00:00-08:00,1.9,1.0123134238598444,0.8270843102132683,1.9,0.30156993295125484,0.2114037926791209,1.1,0.8449254983427297,1.1086499076574237
2026-02-01 13:00:00-08:00,1.2,2.9234961107181205,2.2193263162555255,1.4,0.07052750258823169,0.045417867593018704,1.2,0.39909318465315,0.4814162816205039
2026-02-01 14:00:00-08:00,1.1,2.688491142759678,1.9250404768291913,1.0,0.03268753539491167,0.019761456362421843,1.4,0.21511969851376012,0.23486953803188254
2026-02-01 15:00:00-08:00,1.5,1.038717515879355,0.6867744375460677,1.1,1.4640586479188584,1.1329094727955902,2.7,0.32400297652029775,0.24507621636383753
2026-02-01 16:00:00-08:00,3.8,1.640324143263297,1.393492564204321,1.9,10.11388435497338,6.684766576554612,2.7,5.003032105302974,4.511751676012284
2026-02-01 17:00:00-08:00,1.9,2.5227117600304996,1.7633871527231508,3.8,1.426557160010234,1.239437776696363,2.4,1.1655038487256901,1.0541165010568556
2026-02-01 18:00:00-08:00,2.6,4.56698843800277,2.7464478045491547,6.2,7.302503848310013,5.592923826912075,2.1,0.8181781106934356,0.5749368865024987
2026-02-01 19:00:00-08:00,3.9,1.9218158630539222e-07,1.7923932630897308e-07,8.3,40.283452610776465,29.936287889823824,1.9,20.88614409547109,13.193886507620997
2026-02-01 20:00:00-08:00,2.1,0.0,0.0,5.3,1.7803520686636345e-50,1.4012247741342262e-50,2.5,1.8193229550810002e-20,1.431979921948763e-20
2026-02-01 21:00:00-08:00,1.4,0.0,0.0,3.6,0.0,0.0,2.2,1.6736050355686229e-07,1.4167665811338998e-07
2026-02-01 22:00:00-08:00,1.9,1.5242645939059522e-170,1.758126759680003e-170,2.1,0.06003827606914352,0.05299459781847816,1.7,53.37534585312241,50.37348268787652
2026-02-01 23:00:00-08:00,3.4,4.7168498423725987e-110,5.83115295197325e-110,2.2,2.4432546801597876,2.346101992434257,2.2,5.098299567233312,4.838221601575802
2026-02-02 00:00:00-08:00,7.1,0.0,0.0,176.8,0.3820441758231221,0.46639167196695375,1.9,1.1838861456457865,1.282675092632458
2026-02-02 01:00:00-08:00,8.9,3.180970240097913e-115,4.39772366653634e-115,85.2,1.5335027521790134,1.6505307677707017,3.4,3.298855686851452,3.475759802274019
2026-02-02 02:00:00-08:00,6.0,2.826033774748878e-217,4.058186544826561e-217,41.9,0.6226167252971424,0.7876174362149848,2.4,1.4826182791795395,1.654045364570206
2026-02-02 03:00:00-08:00,5.0,0.0,0.0,6.3,8.535434615498365e-07,1.2483796744559809e-06,1.6,6.112417870514571e-05,8.075955060874526e-05
2026-02-02 04:00:00-08:00,4.4,0.0,0.0,8.0,0.05739957787132737,0.08131597866128067,2.3,0.2970620632626797,0.3797864583511406
2026-02-02 05:00:00-08:00,3.9,0.0,0.0,5.1,0.2892241914800112,0.3978428511032167,2.4,0.9158413441162009,1.1191569509975996
2026-02-02 06:00:00-08:00,3.5,0.0,0.0,6.4,4.782753672124741e-10,6.922652928344431e-10,2.2,1.0825171012413628e-07,1.396686564114145e-07
2026-02-02 07:00:00-08:00,3.4,0.0,0.0,11.7,1.0792541243089399e-09,1.5002761983893833e-09,15.6,4.4746481881387194e-08,5.450723907824002e-08
2026-02-02 08:00:00-08:00,3.9,0.0,0.0,8.0,7.848708529793506e-23,1.0508670501905666e-22,16.7,6.280815133153904e-19,7.073733476366564e-19
2026-02-02 09:00:00-08:00,3.3,0.0,0.0,7.0,0.014840533183291824,0.0175215426019992,11.6,0.06502973477366039,0.07006274401773867
2026-02-02 10:00:00-08:00,2.9,2.3247816852651644,2.72585074591537,3.3,15.380232470664332,14.130776718573593,1.5,3.6824271659293353,4.340400339576442
2026-02-02 11:00:00-08:00,2.1,0.9332230544333222,0.8265391063562628,1.2,0.6698827553135003,0.7298837656229759,0.9,0.3334279243843682,0.46491467598856834
2026-02-02 12:00:00-08:00,1.9,1.3258021887337506,1.1037815741334391,1.0,0.629832869592738,0.5568854786516169,0.9,0.6218136880582857,0.8160342954426072
2026-02-02 13:00:00-08:00,2.0,1.0294153362043892,0.7893026268595023,1.1,0.4596319339128794,0.30863299911552405,0.9,1.0637929821302279,1.3028446146179218
2026-02-02 14:00:00-08:00,1.4,2.1437227349679877,1.5386407340930415,1.0,0.3297958174952668,0.20152957199243027,0.9,1.120662946228317,1.2946028089480819
2026-02-02 15:00:00-08:00,1.6,3.3102175645044825,2.280776490935599,1.2,0.2556154078366591,0.14960362618602835,1.0,1.0439723269045098,1.1569722260971784
2026-02-02 16:00:00-08:00,1.0,5.036641340576634,3.402915790827279,1.7,0.0662071756948901,0.037294980724116876,1.1,0.2972565249767637,0.26956717269349423
2026-02-02 17:00:00-08:00,1.1,1.480924436070019,0.9881131000645649,2.3,0.2634218738974824,0.15788818234512006,1.4,0.2488946434519768,0.187424463884573
2026-02-02 18:00:00-08:00,1.2,2.9628565250811665,2.555548732979729,2.2,14.657040514822862,9.781788859650556,8.1,3.0145014416968214,2.2514466017450623
2026-02-02 19:00:00-08:00,0.8,5.810785440563278e-69,4.281310919813467e-69,1.2,17.571266993671077,12.946280330679283,2.5,16.241011044679702,17.836958594610376
2026-02-02 20:00:00-08:00,1.8,9.735360931773761e-57,7.662208595055791e-57,1.8,2.3686653151532094e-07,1.8642562780947363e-07,5.1,8.886346747683988e-18,1.042535813247274e-17
2026-02-02 21:00:00-08:00,0.6,1.0332104312887008e-155,8.746496211583332e-156,16.8,11.22790149391748,9.504820596719235,2.7,3.284467575528746,4.1445379691361985
2026-02-02 22:00:00-08:00,0.5,0.0,0.0,6.1,1.2804961098106194e-109,1.1667786818631822e-109,2.4,0.0005945520097049038,0.0005417514390459108
2026-02-02 23:00:00-08:00,0.5,0.0,0.0,2.3,0.0,0.0,1.7,1.657654892273479e-07,1.6188883645455768e-07
2026-02-03 00:00:00-08:00,1.2,0.0,0.0,1.4,4.868182401769688e-100,6.398617716374089e-100,1.3,2.3011829240550042e-82,2.2597252034243147e-82
2026-02-03 01:00:00-08:00,0.8,0.0,0.0,1.3,2.785936042059651e-15,3.851583805524365e-15,1.3,5.3753447644014536e-09,7.126878769669228e-09
2026-02-03 02:00:00-08:00,0.9,0.0,0.0,1.5,3.8714609928250345,5.013105382548405,1.5,8.0948989523947,9.022952125599499
2026-02-03 03:00:00-08:00,1.9,0.0,0.0,1.8,3.729940881917319e-32,5.48749462320063e-32,1.4,3.329238017799461e-23,4.568708287942399e-23
2026-02-03 04:00:00-08:00,2.7,0.0,0.0,1.5,7.565071326390059e-33,1.1239526901666222e-32,1.2,1.2446995930701326e-26,1.548368292666374e-26
2026-02-03 05:00:00-08:00,2.4,0.0,0.0,1.5,1.78702793661078e-70,2.087311172174688e-70,1.5,2.0395920506922223,2.3823148966337637
2026-02-03 06:00:00-08:00,2.2,0.0,0.0,2.5,2.2244880488236492e-32,2.548451402117273e-32,1.5,0.24247190866525314,0.2777843090408094
2026-02-03 07:00:00-08:00,,0.0,0.0,3.5,4.079516947913454e-27,5.721793410358085e-27,1.6,3.494125657496977e-11,3.871568976428231e-11
2026-02-03 08:00:00-08:00,,0.0,0.0,3.5,1.0090259988773153e-07,1.3303657906076594e-07,2.5,2.455921568912129e-06,2.8766024667564677e-06
2026-02-03 09:00:00-08:00,,0.0,0.0,2.7,8.640083838751085e-06,1.0359555836601823e-05,3.0,4.65750942733866e-05,5.029753958408999e-05
2026-02-03 10:00:00-08:00,,1.536110136764022e-06,1.4341378868315314e-06,1.8,0.33205201943102597,0.3106292045055264,1.8,0.3275561794538207,0.4558480926109319
2026-02-03 11:00:00-08:00,,0.023273080079268375,0.027376750330544534,1.2,0.02276829471712617,0.02432843078497234,1.5,9.378235543915158e-08,5.965685167690976e-08
