receptor,wind_sector,n_hours,obs_mean,pred_mean,resid_mean,resid_rms
SAN YSIDRO,N,9,30.311111111111114,8.422147395798323,21.888963715312787,42.69470352512791
SAN YSIDRO,NNE,7,10.0,10.233234076737679,-0.23323407673767907,13.991228406706641
SAN YSIDRO,NE,13,7.646153846153846,0.018821397887787902,7.627332448266059,11.009955171367986
SAN YSIDRO,ENE,13,6.246153846153847,0.4137564332094905,5.832397412944355,9.364200499103891
SAN YSIDRO,E,14,5.957142857142856,0.5884150330617682,5.368727824081089,11.095971690445062
SAN YSIDRO,ESE,13,2.707692307692308,0.0018082937370655465,2.7058840139552416,3.603874534307517
SAN YSIDRO,SE,20,4.470000000000001,3.2815562050191496e-12,4.469999999996719,6.9496762514512564
SAN YSIDRO,SSE,17,3.4941176470588236,8.411843678640973e-06,3.494109235215145,5.122268567991481
SAN YSIDRO,S,12,5.0,0.09003626845569564,4.9099637315443045,6.250334667169914
SAN YSIDRO,SSW,15,4.613333333333332,3.0417548783665853,1.5715784549667478,7.337773794999354
SAN YSIDRO,SW,18,3.738888888888889,1.8623361237985572,1.8765527650903318,4.313649994118837
SAN YSIDRO,WSW,38,4.771052631578947,2.2452416278202882,2.525811003758659,8.950087801940546
SAN YSIDRO,W,60,5.566666666666667,5.219090071415522,0.3475765952511444,7.897829177427909
SAN YSIDRO,WNW,39,6.38974358974359,1.4112241455169443,4.978519444226644,9.265575677937033
SAN YSIDRO,NW,9,15.38888888888889,0.37025558556396915,15.018633303324918,19.908290456137202
SAN YSIDRO,NNW,7,29.328571428571426,1.5876177123928705,27.74095371617856,41.24797630102869
NESTOR - BES,N,9,13.411111111111111,4.3545078872108105,9.056603223900302,17.924616723032184
NESTOR - BES,NNE,7,96.6,5.474691955732809,91.12530804426719,139.0140999529792
NESTOR - BES,NE,13,50.53076923076923,5.553321071838537,44.9774481589307,80.37475568006091
NESTOR - BES,ENE,13,47.707692307692305,1.5068402101584424,46.200852097533854,93.88709378817269
NESTOR - BES,E,14,16.307142857142857,0.3427902592641644,15.96435259787869,34.83657328015891
NESTOR - BES,ESE,13,34.23846153846154,1.6206586613112284,32.61780287715031,71.05485397511818
NESTOR - BES,SE,20,95.29499999999999,6.792219553522855,88.50278044647715,123.32580634743064
NESTOR - BES,SSE,17,72.09411764705884,2.042941013922755,70.05117663313607,103.42497414397783
NESTOR - BES,S,12,92.98333333333333,28.54967000767907,64.43366332565425,160.4884206372673
NESTOR - BES,SSW,15,31.14666666666667,7.810308978232458,23.3363576884342,39.55169130703909
NESTOR - BES,SW,18,57.89999999999999,0.9383880363002906,56.9616119636997,181.70033056137592
NESTOR - BES,WSW,40,7.7299999999999995,1.3466953356150726,6.383304664384928,20.916464085146636
NESTOR - BES,W,60,12.34,0.4885401994761936,11.851459800523806,51.95714600410814
NESTOR - BES,WNW,42,1.0523809523809522,0.042479905887157145,1.0099010464937954,3.1106805226749272
NESTOR - BES,NW,9,1.7111111111111112,0.7516603929291313,0.9594507181819796,4.1649505810674405
NESTOR - BES,NNW,7,83.21428571428571,0.5349025804291109,82.6793831338566,155.59380442268255
IB CIVIC CTR,N,9,1.4222222222222223,22.89504019106988,-21.472817968847657,28.918733241163306
IB CIVIC CTR,NNE,7,0.7857142857142858,0.0031221931047297987,0.7825920926095559,1.0934761339730565
IB CIVIC CTR,NE,13,4.23076923076923,6.064364959585993,-1.8335957288167628,10.57257254728266
IB CIVIC CTR,ENE,13,3.092307692307692,2.303235719676949,0.7890719726307431,4.623973878404066
IB CIVIC CTR,E,14,5.371428571428572,2.7227040933732662,2.6487244780553065,14.404565236772667
IB CIVIC CTR,ESE,13,12.353846153846153,3.849319396776356,8.504526757069796,30.589118611154916
IB CIVIC CTR,SE,20,38.83,34.18988984533628,4.6401101546637165,88.30126763433795
IB CIVIC CTR,SSE,17,17.423529411764708,4.024800349244465,13.39872906252024,20.460229150200526
IB CIVIC CTR,S,11,18.29090909090909,5.555783478046215,12.735125612862875,19.08895372909027
IB CIVIC CTR,SSW,14,12.157142857142858,2.1508148355404764,10.00632802160238,22.97540914392331
IB CIVIC CTR,SW,18,2.772222222222222,0.41730598597768165,2.3549162362445406,6.1263298380044136
IB CIVIC CTR,WSW,42,1.2666666666666666,0.5385874439180357,0.7280792227486311,2.838053451846245
IB CIVIC CTR,W,57,1.1228070175438596,1.4116635364574681,-0.2888565189136087,3.9126660987020663
IB CIVIC CTR,WNW,42,0.5214285714285714,0.008225752855418428,0.513202818573153,0.6704206038730504
IB CIVIC CTR,NW,9,0.48888888888888893,1.0491061627151006e-19,0.48888888888888893,0.5077182070575939
IB CIVIC CTR,NNW,7,0.8571428571428573,0.01984324698978308,0.8372996101530742,1.2429754339715597
