receptor,wind_sector,n_hours,obs_mean,pred_mean,resid_mean,resid_rms
SAN YSIDRO,N,9,30.311111111111114,7.899566456495326,22.41154465461578,42.71363810426542
SAN YSIDRO,NNE,7,10.0,10.016964746867426,-0.01696474686742582,13.981530403427703
SAN YSIDRO,NE,13,7.646153846153846,0.7528100606511017,6.893343785502742,10.93223616955455
SAN YSIDRO,ENE,13,6.246153846153847,0.5075652864977138,5.738588559656135,9.319724357224194
SAN YSIDRO,E,14,5.957142857142856,0.5840458330386833,5.373097024104175,11.104614431799245
SAN YSIDRO,ESE,13,2.707692307692308,0.0017825492267599268,2.705909758465548,3.6038801963636744
SAN YSIDRO,SE,20,4.470000000000001,2.8735134156901996e-12,4.4699999999971265,6.949676251451385
SAN YSIDRO,SSE,17,3.4941176470588236,1.397970030366803e-05,3.4941036673585195,5.1222678072404895
SAN YSIDRO,S,12,5.0,0.11577048926078377,4.884229510739217,6.240221813385739
SAN YSIDRO,SSW,15,4.613333333333332,3.3845411969443804,1.2287921363889538,6.836576438436431
SAN YSIDRO,SW,18,3.738888888888889,1.2384135175485296,2.500475371340359,4.482769199703865
SAN YSIDRO,WSW,38,4.771052631578947,1.7252274548676927,3.045825176711255,8.929914236125795
SAN YSIDRO,W,60,5.566666666666667,4.886644267050778,0.6800223996158891,8.048492423531412
SAN YSIDRO,WNW,39,6.38974358974359,1.422875446295228,4.9668681434483615,9.225634590122613
SAN YSIDRO,NW,9,15.38888888888889,0.3790769245467398,15.009811964342147,19.891293540932356
SAN YSIDRO,NNW,7,29.328571428571426,1.9462922420102355,27.382279186561192,41.18647692112343
NESTOR - BES,N,9,13.411111111111111,4.458399880525722,8.95271123058539,17.911610854434127
NESTOR - BES,NNE,7,96.6,4.045992860085016,92.55400713991499,141.66749693290433
NESTOR - BES,NE,13,50.53076923076923,6.776666956709308,43.754102274059925,79.92357233923298
NESTOR - BES,ENE,13,47.707692307692305,1.5253343048966828,46.18235800279562,93.8184892343579
NESTOR - BES,E,14,16.307142857142857,0.36265989560685813,15.944482961535996,34.827250487832096
NESTOR - BES,ESE,13,34.23846153846154,2.3827685026832706,31.855693035778266,70.98797766837708
NESTOR - BES,SE,20,95.29499999999999,6.002482722609551,89.29251727739044,124.23890023625289
NESTOR - BES,SSE,17,72.09411764705884,2.5665683418904024,69.52754930516842,102.41497147373498
NESTOR - BES,S,12,92.98333333333333,29.662019906334717,63.32131342699862,158.19748568433607
NESTOR - BES,SSW,15,31.14666666666667,9.12583826259809,22.020828404068574,37.87295238961294
NESTOR - BES,SW,18,57.89999999999999,0.8201168666721032,57.07988313332789,181.81471227692043
NESTOR - BES,WSW,40,7.7299999999999995,1.4153201050837478,6.314679894916251,20.558146835271195
NESTOR - BES,W,60,12.34,0.5636368236283235,11.776363176371678,52.13874619787047
NESTOR - BES,WNW,42,1.0523809523809522,0.047109534715123434,1.0052714176658293,3.1085723604019107
NESTOR - BES,NW,9,1.7111111111111112,0.6796821512648669,1.0314289598462443,4.141899791607777
NESTOR - BES,NNW,7,83.21428571428571,0.7159572422923314,82.49832847199336,155.59759411299726
IB CIVIC CTR,N,9,1.4222222222222223,24.182134309313412,-22.75991208709119,30.110768136705676
IB CIVIC CTR,NNE,7,0.7857142857142858,0.0038926335499968275,0.7818216521642889,1.0931759650746975
IB CIVIC CTR,NE,13,4.23076923076923,6.577079743711194,-2.3463105129419626,11.67870293894791
IB CIVIC CTR,ENE,13,3.092307692307692,2.684954317430761,0.40735337487693113,5.083679231545957
IB CIVIC CTR,E,14,5.371428571428572,2.878355202554647,2.4930733688739246,14.600215733528461
IB CIVIC CTR,ESE,13,12.353846153846153,4.652596030553499,7.701250123292654,31.125225112622886
IB CIVIC CTR,SE,20,38.83,41.55402019282535,-2.724020192825337,105.71168053157064
IB CIVIC CTR,SSE,17,17.423529411764708,5.293047704262154,12.130481707502552,19.472910295503635
IB CIVIC CTR,S,11,18.29090909090909,5.265622119515924,13.025286971393164,19.575697186658445
IB CIVIC CTR,SSW,14,12.157142857142858,2.5991403227732888,9.558002534369566,22.573416607375023
IB CIVIC CTR,SW,18,2.772222222222222,0.4339168013524355,2.3383054208697867,6.1719053275577105
IB CIVIC CTR,WSW,42,1.2666666666666666,0.7483414818535932,0.5183251848130735,2.6422063243770766
IB CIVIC CTR,W,57,1.1228070175438596,1.5472282317808415,-0.424421214236982,4.0980990751830655
IB CIVIC CTR,WNW,42,0.5214285714285714,0.010542237228783311,0.5108863341997881,0.667241426395716
IB CIVIC CTR,NW,9,0.48888888888888893,1.2101249192015302e-19,0.48888888888888893,0.5077182070575939
IB CIVIC CTR,NNW,7,0.8571428571428573,0.022848717638635996,0.8342941395042213,1.2355727210636938
