hour,obs_SAN YSIDRO,pred_v2_SAN YSIDRO,pred_v3_SAN YSIDRO,pred_v31_SAN YSIDRO,obs_NESTOR - BES,pred_v2_NESTOR - BES,pred_v3_NESTOR - BES,pred_v31_NESTOR - BES,obs_IB CIVIC CTR,pred_v2_IB CIVIC CTR,pred_v3_IB CIVIC CTR,pred_v31_IB CIVIC CTR
2026-02-01 00:00:00-08:00,1.2,1.9271636475075168e-05,0.22441761966702115,0.30416552906224475,18.5,1.084435143349217,1.2712490034485675,1.298318316435859,6.8,1.0488235467752471,1.048798116260466,1.0266088442283214
2026-02-01 01:00:00-08:00,1.0,1.3777120089329706,1.194555959325034,1.1472341449333614,5.3,1.4605323688632845,1.4007151068753416,1.3592743131225786,2.8,0.1787657230836431,0.2048542219001401,0.20623942195618883
2026-02-01 02:00:00-08:00,1.0,0.002015244742521848,0.001870291868181827,0.0018214244193207607,3.6,0.43417885393629074,0.4073546748400681,0.39792485791610893,2.3,0.15409696940238607,0.1478679677684766,0.1440145059967898
2026-02-01 03:00:00-08:00,2.6,2.594507746176912e-09,2.5479474108885383e-09,2.513076625665132e-09,1.8,0.14515758343456503,0.2748757093268919,0.29106498061566827,1.2,0.159069240195501,0.22297872500686852,0.23000838938407678
2026-02-01 04:00:00-08:00,2.8,4.211299224722093e-21,4.284102090510958e-21,4.264981357123317e-21,1.6,0.18811025041662158,0.39302170050595436,0.3326703394718836,1.2,0.4013379182017962,0.6352469093328577,0.46712826405332997
2026-02-01 05:00:00-08:00,2.4,8.248673417066748e-19,8.50743801007046e-19,8.522650785604407e-19,1.3,0.21439466176483407,0.48775919759588565,0.47589451413177003,1.1,0.34215556318057017,0.5939061209529086,0.452699615793335
2026-02-01 06:00:00-08:00,1.9,2.8824964693670964e-07,2.94978364434161e-07,2.9649988959338084e-07,1.0,0.1508939854387888,0.1889624275809772,0.19649424797460152,1.3,0.1846151550504715,0.204208331804822,0.20819383230000088
2026-02-01 07:00:00-08:00,2.8,6.030307379692339e-06,5.992637823247385e-06,6.025975219564445e-06,1.4,0.23094702019135327,0.2444340335254601,0.2493017597150874,1.6,0.18413498235908465,0.18781658406864393,0.18993844854589245
2026-02-01 08:00:00-08:00,3.1,6.860181975069371e-09,6.480242756721835e-09,6.497919218599145e-09,1.6,0.0999342093618425,0.1634229714146192,0.1748207388707416,1.5,0.12534535710889244,0.1527978004452095,0.158796747216978
2026-02-01 09:00:00-08:00,2.2,2.4553813768668038e-20,2.158973360728197e-20,2.1506858322592354e-20,1.8,0.46715285681576585,0.5779651849589232,0.492090424364322,4.2,1.2622664650530926,1.3256954355855335,1.2676450711910552
2026-02-01 10:00:00-08:00,3.1,0.9518183897727222,0.9175311275334797,0.9685805855949102,5.6,0.31533158183865206,0.2763469316998175,0.2955294110041225,4.5,0.3023426146502261,0.5581853939058887,0.7049477704997918
