receptor,wind_sector,n_hours,obs_mean,pred_mean,resid_mean,resid_rms
SAN YSIDRO,N,9,30.311111111111114,5.79071894657574,24.520392164535373,42.8038176483014
SAN YSIDRO,NNE,7,10.0,10.128692972789183,-0.1286929727891832,13.800486950451019
SAN YSIDRO,NE,13,7.646153846153846,1.0402400640010803,6.605913782152765,10.959782578646559
SAN YSIDRO,ENE,13,6.246153846153847,0.5234778351727127,5.722676010981133,9.310553264482685
SAN YSIDRO,E,14,5.957142857142856,0.5690330891338656,5.388109768008992,11.108020349893266
SAN YSIDRO,ESE,13,2.707692307692308,0.0017555718503777468,2.70593673584193,3.603886029111406
SAN YSIDRO,SE,20,4.470000000000001,2.8180595544595996e-12,4.469999999997182,6.949676251451403
SAN YSIDRO,SSE,17,3.4941176470588236,1.757536786990188e-05,3.4941000716909536,5.122267316016654
SAN YSIDRO,S,12,5.0,0.1374230092928727,4.862576990707128,6.232857477229932
SAN YSIDRO,SSW,15,4.613333333333332,3.4968041973675876,1.1165291359657465,6.210979391871573
SAN YSIDRO,SW,18,3.738888888888889,0.6785098019886787,3.0603790869002108,4.74189968010763
SAN YSIDRO,WSW,38,4.771052631578947,1.5960087714450004,3.1750438601339477,8.960256547864825
SAN YSIDRO,W,60,5.566666666666667,4.6213374880988605,0.9453291785678063,8.082856256701715
SAN YSIDRO,WNW,39,6.38974358974359,1.406827652382736,4.982915937360855,9.247535758910697
SAN YSIDRO,NW,9,15.38888888888889,0.3438763449893602,15.045012543899528,19.935890228275163
SAN YSIDRO,NNW,7,29.328571428571426,2.041196240055763,27.287375188515664,41.175354578925294
NESTOR - BES,N,9,13.411111111111111,3.9648677900702967,9.446243321040814,17.823752369326957
NESTOR - BES,NNE,7,96.6,3.626217505893012,92.973782494107,142.41338848541272
NESTOR - BES,NE,13,50.53076923076923,6.707478224186297,43.82329100658295,79.96137129864674
NESTOR - BES,ENE,13,47.707692307692305,1.445043940081614,46.26264836761068,93.89973713986753
NESTOR - BES,E,14,16.307142857142857,0.3673374986919066,15.93980535845095,34.82758482916578
NESTOR - BES,ESE,13,34.23846153846154,2.704176267837551,31.53428527062399,71.00230486313752
NESTOR - BES,SE,20,95.29499999999999,3.529710672049039,91.76528932795097,126.94887129593384
NESTOR - BES,SSE,17,72.09411764705884,2.901848042397867,69.19226960466095,101.90300784509786
NESTOR - BES,S,12,92.98333333333333,26.736667080712607,66.24666625262073,160.35062821956245
NESTOR - BES,SSW,15,31.14666666666667,8.84346415995883,22.303202506707844,37.84493767475556
NESTOR - BES,SW,18,57.89999999999999,0.4642540417498531,57.435745958250145,182.08471858276044
NESTOR - BES,WSW,40,7.7299999999999995,1.4355666542715235,6.294433345728477,20.497995627329278
NESTOR - BES,W,60,12.34,0.5029643014387739,11.837035698561227,52.23393201561611
NESTOR - BES,WNW,42,1.0523809523809522,0.045964596810169366,1.006416355570783,3.108572571341761
NESTOR - BES,NW,9,1.7111111111111112,0.6704750572290035,1.0406360538821076,4.136927568153283
NESTOR - BES,NNW,7,83.21428571428571,0.7630913364404304,82.45119437784528,155.59890650506915
IB CIVIC CTR,N,9,1.4222222222222223,24.288124985637626,-22.865902763415406,30.13339801960566
IB CIVIC CTR,NNE,7,0.7857142857142858,0.00374166134319501,0.7819726243710906,1.0932162636994898
IB CIVIC CTR,NE,13,4.23076923076923,6.0535413346737155,-1.822772103904485,11.069603660290062
IB CIVIC CTR,ENE,13,3.092307692307692,2.445874333791679,0.6464333585160135,4.762630503470104
IB CIVIC CTR,E,14,5.371428571428572,2.895187508711023,2.4762410627175484,14.622881279609524
IB CIVIC CTR,ESE,13,12.353846153846153,4.453418039214754,7.900428114631399,30.927378011440787
IB CIVIC CTR,SE,20,38.83,41.871300659119,-3.0413006591189995,107.79266986914172
IB CIVIC CTR,SSE,17,17.423529411764708,4.973411806775964,12.45011760498874,19.969374550713606
IB CIVIC CTR,S,11,18.29090909090909,4.243565418263278,14.047343672645814,20.877082121414283
IB CIVIC CTR,SSW,14,12.157142857142858,3.230594466097661,8.926548391045197,22.247622059882037
IB CIVIC CTR,SW,18,2.772222222222222,0.33809486906934777,2.434127353152874,6.244949189599253
IB CIVIC CTR,WSW,42,1.2666666666666666,0.7439156999446865,0.5227509667219802,2.647638974771798
IB CIVIC CTR,W,57,1.1228070175438596,1.5621408773519367,-0.43933385980807715,4.164137884982001
IB CIVIC CTR,WNW,42,0.5214285714285714,0.011374116577196586,0.5100544548513748,0.6661844100869827
IB CIVIC CTR,NW,9,0.48888888888888893,1.3000112538709828e-19,0.48888888888888893,0.5077182070575939
IB CIVIC CTR,NNW,7,0.8571428571428573,0.024534526746303346,0.8326083303965539,1.2314217407932018
